Date,Store ID,Product ID,Demand,Forecast_RandomForest,Forecast_XGBoost,Forecast_Ensemble
2023-06-09,S002,P0011,139,140.6,139.23,139.85
2023-06-09,S001,P0001,85,77.94,79.26,78.67
2023-06-09,S003,P0003,117,120.65,121.98,121.38
2023-06-09,S002,P0017,55,55.16,54.82,54.97
2023-06-09,S001,P0004,121,120.07,122.25,121.27
2023-06-09,S005,P0018,71,72.56,68.55,70.35
2023-06-09,S002,P0014,124,123.65,128.54,126.34
2023-06-09,S003,P0014,58,58.06,59.48,58.84
2023-06-09,S001,P0012,256,250.25,256.85,253.88
2023-06-09,S005,P0016,42,41.78,42.3,42.07
2023-06-09,S002,P0013,238,237.65,234.19,235.75
2023-06-09,S001,P0017,83,81.58,84.47,83.17
2023-06-09,S001,P0008,110,109.91,111.68,110.88
2023-06-09,S002,P0010,92,91.78,91.95,91.87
2023-06-09,S001,P0016,204,205.67,201.57,203.42
2023-06-09,S005,P0005,142,142.2,141.92,142.05
2023-06-09,S001,P0011,105,104.87,103.6,104.17
2023-06-09,S001,P0005,169,161.26,165.6,163.65
2023-06-09,S002,P0007,140,140.0,139.99,139.99
2023-06-09,S004,P0016,108,109.69,108.67,109.13
2023-06-09,S002,P0003,74,73.9,73.12,73.47
2023-06-09,S003,P0019,156,156.66,157.98,157.39
2023-06-09,S004,P0014,73,73.23,74.23,73.78
2023-06-09,S002,P0018,49,51.84,50.37,51.03
2023-06-09,S001,P0015,110,110.19,110.74,110.49
2023-06-09,S004,P0010,168,168.04,168.27,168.17
2023-06-09,S005,P0003,175,174.78,175.44,175.14
2023-06-09,S003,P0017,23,24.51,24.95,24.75
2023-06-09,S002,P0002,79,79.09,78.82,78.94
2023-06-09,S003,P0005,91,91.13,90.63,90.86
2023-06-09,S004,P0003,71,71.37,70.4,70.84
2023-06-09,S004,P0001,108,107.66,110.94,109.46
2023-06-09,S002,P0020,74,73.78,74.52,74.19
2023-06-09,S003,P0007,186,177.69,187.35,183.0
2023-06-09,S001,P0002,169,169.01,168.69,168.83
2023-06-09,S003,P0016,188,187.3,190.11,188.85
2023-06-09,S002,P0005,124,123.66,125.66,124.76
2023-06-09,S001,P0003,153,152.98,152.18,152.54
2023-06-09,S003,P0013,169,173.09,175.34,174.33
2023-06-09,S002,P0001,138,137.49,138.95,138.29
2023-06-09,S002,P0016,214,212.48,212.51,212.5
2023-06-09,S004,P0008,72,72.29,71.34,71.77
2023-06-09,S005,P0002,48,48.23,49.18,48.75
2023-06-09,S004,P0006,262,262.71,251.46,256.52
2023-06-09,S005,P0004,94,93.7,93.09,93.36
2023-06-09,S001,P0014,81,80.88,79.42,80.08
2023-06-09,S003,P0001,112,112.04,111.87,111.95
2023-06-09,S001,P0013,69,63.99,66.48,65.36
2023-06-09,S002,P0004,163,172.34,163.64,167.55
2023-06-09,S005,P0020,183,181.43,183.44,182.54
2023-06-09,S004,P0017,144,144.58,143.64,144.06
2023-06-09,S005,P0007,134,134.13,143.83,139.47
2023-06-09,S004,P0020,103,96.13,99.9,98.2
2023-06-09,S003,P0015,186,186.1,186.95,186.57
2023-06-09,S005,P0008,164,166.32,166.83,166.6
2023-06-09,S004,P0007,125,124.91,126.08,125.55
2023-06-09,S004,P0015,25,24.44,24.55,24.5
2023-06-09,S001,P0006,150,149.91,147.61,148.65
2023-06-09,S001,P0019,74,74.24,75.39,74.87
2023-06-09,S003,P0006,98,98.03,99.2,98.67
2023-06-09,S002,P0015,95,95.09,94.29,94.65
2023-06-09,S001,P0018,135,134.45,134.28,134.36
2023-06-09,S003,P0012,134,134.09,130.43,132.08
2023-06-09,S005,P0011,94,94.15,94.62,94.41
2023-06-09,S005,P0006,241,237.03,244.03,240.88
2023-06-09,S001,P0007,180,179.32,181.26,180.39
2023-06-09,S003,P0020,122,116.23,116.73,116.5
2023-06-09,S001,P0009,132,132.25,131.09,131.61
2023-06-09,S005,P0017,65,70.18,68.24,69.11
2023-06-09,S004,P0009,112,111.95,111.96,111.96
2023-06-09,S005,P0013,218,217.61,215.35,216.37
2023-06-09,S003,P0018,63,62.84,63.18,63.03
2023-06-10,S004,P0010,179,179.97,177.15,178.42
2023-06-10,S002,P0020,116,115.54,117.52,116.63
2023-06-10,S002,P0010,229,226.15,222.19,223.97
2023-06-10,S001,P0003,126,135.86,134.67,135.21
2023-06-10,S002,P0018,145,144.73,145.78,145.31
2023-06-10,S001,P0012,192,191.95,192.41,192.2
2023-06-10,S003,P0019,191,192.98,193.42,193.22
2023-06-10,S003,P0005,96,93.14,94.69,93.99
2023-06-10,S001,P0006,45,45.3,45.07,45.17
2023-06-10,S005,P0007,253,248.52,250.46,249.59
2023-06-10,S004,P0020,67,68.56,69.17,68.9
2023-06-10,S005,P0003,57,57.02,57.92,57.51
2023-06-10,S004,P0007,175,163.76,171.37,167.95
