Unnamed: 0,Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand
189,2022-01-02,S005,P0010,Groceries,North,0,0,629,72.29,10,Snowy,1,64.1,Winter,0,182
204,2022-01-03,S001,P0005,Groceries,North,0,0,761,58.17,25,Snowy,1,57.29,Winter,0,172
215,2022-01-03,S001,P0016,Groceries,North,0,0,553,45.61,15,Snowy,1,40.77,Winter,0,193
252,2022-01-03,S003,P0013,Groceries,East,0,0,681,94.01,0,Cloudy,0,89.45,Winter,0,166
260,2022-01-03,S004,P0001,Groceries,West,0,0,0,12.83,15,Sunny,1,15.38,Winter,0,207
295,2022-01-03,S005,P0016,Toys,North,0,0,614,41.54,10,Snowy,1,36.53,Winter,0,171
346,2022-01-04,S003,P0007,Groceries,East,0,0,670,16.12,20,Sunny,1,18.73,Winter,0,170
368,2022-01-04,S004,P0009,Clothing,West,299,201,0,143.79,15,Cloudy,1,165.24,Winter,0,235
430,2022-01-05,S002,P0011,Groceries,South,559,206,568,120.94,10,Snowy,1,114.78,Winter,0,201
450,2022-01-05,S003,P0011,Electronics,East,503,243,0,130.31,25,Sunny,1,146.68,Winter,0,217
469,2022-01-05,S004,P0010,Groceries,West,597,218,784,29.29,20,Cloudy,1,31.07,Winter,0,222
568,2022-01-06,S004,P0009,Clothing,West,477,220,506,131.78,15,Snowy,1,149.1,Winter,0,198
633,2022-01-07,S002,P0014,Electronics,South,649,98,708,114.8,25,Cloudy,1,133.09,Winter,0,163
638,2022-01-07,S002,P0019,Clothing,South,595,141,770,107.35,5,Cloudy,0,128.83,Winter,0,183
653,2022-01-07,S003,P0014,Groceries,East,821,266,0,101.16,25,Sunny,1,112.75,Winter,0,225
659,2022-01-07,S003,P0020,Clothing,East,769,169,891,108.81,10,Sunny,1,93.08,Winter,0,259
673,2022-01-07,S004,P0014,Furniture,West,121,111,306,199.44,10,Cloudy,1,236.04,Winter,0,164
734,2022-01-08,S002,P0015,Clothing,South,733,217,798,75.7,20,Cloudy,1,66.84,Winter,0,188
746,2022-01-08,S003,P0007,Groceries,East,791,315,1073,20.56,25,Sunny,1,19.43,Winter,0,279
819,2022-01-09,S001,P0020,Furniture,North,507,217,786,131.7,25,Sunny,1,126.45,Winter,0,186
856,2022-01-09,S003,P0017,Furniture,East,621,179,756,119.73,25,Sunny,1,127.49,Winter,0,162
959,2022-01-10,S003,P0020,Clothing,East,168,168,979,93.11,25,Cloudy,1,81.4,Winter,0,271
1033,2022-01-11,S002,P0014,Electronics,South,939,203,919,142.46,25,Sunny,1,129.42,Winter,0,229
1044,2022-01-11,S003,P0005,Toys,East,528,181,767,21.8,25,Sunny,1,19.73,Winter,0,160
1054,2022-01-11,S003,P0015,Groceries,East,589,158,786,122.99,10,Sunny,1,110.96,Winter,0,196
1061,2022-01-11,S004,P0002,Groceries,West,0,0,372,23.33,10,Cloudy,1,26.55,Winter,0,182
1085,2022-01-11,S005,P0006,Groceries,North,817,190,1074,69.88,25,Cloudy,1,60.91,Winter,0,245
1152,2022-01-12,S003,P0013,Groceries,East,623,151,795,81.04,25,Sunny,1,97.3,Winter,0,244
