,Inventory Level,Units Sold,Units Ordered,Price,Discount,Promotion,Competitor Pricing,Epidemic,Demand,time_idx,is_weekend,month_sin,month_cos,dow_sin,dow_cos,store_freq,product_freq,store_product_freq,Category_Clothing,Category_Electronics,Category_Furniture,Category_Groceries,Category_Toys,Region_East,Region_North,Region_South,Region_West,Weather Condition_Cloudy,Weather Condition_Rainy,Weather Condition_Snowy,Weather Condition_Sunny,Seasonality_Autumn,Seasonality_Spring,Seasonality_Summer,Seasonality_Winter
0,195,102,252,72.72,5,0,85.73,0,115,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,117,117,249,80.16,15,1,92.02,0,229,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2,247,114,612,62.94,10,1,60.08,0,157,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3,139,45,102,87.63,10,0,85.19,0,52,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
4,152,65,271,54.41,0,0,51.63,0,59,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
5,209,60,0,35.53,0,0,40.01,0,55,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
6,118,81,335,23.27,5,0,24.78,0,94,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
7,244,42,0,37.79,5,0,44.85,0,61,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
8,115,88,139,94.2,5,0,108.7,0,129,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
9,192,70,300,113.35,10,0,129.98,0,69,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
10,215,51,142,156.34,0,0,188.96,0,64,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
11,289,121,215,84.48,0,0,92.02,0,104,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
12,279,113,0,33.1,5,0,39.11,0,110,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
13,252,121,479,80.13,10,1,92.24,0,165,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
14,119,55,74,14.39,5,0,13.59,0,64,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
15,103,78,372,38.79,10,0,35.14,0,115,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
16,128,59,0,21.21,0,0,22.73,0,75,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
17,281,78,0,54.4,5,0,54.1,0,66,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
18,281,61,0,95.56,10,0,103.05,0,58,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2659,532,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
19,266,36,0,100.47,5,0,115.24,0,43,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2659,532,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
20,102,102,331,90.89,0,0,81.87,0,118,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
21,193,119,192,25.68,25,1,30.95,0,105,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
22,187,167,596,95.17,10,1,84.24,0,171,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
23,160,111,339,39.54,10,0,46.57,0,110,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
24,155,103,334,92.35,0,0,104.72,0,94,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
25,198,79,0,64.0,5,0,57.37,0,88,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
26,233,89,226,25.47,10,0,30.08,0,93,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
27,124,124,99,25.63,5,0,29.79,0,112,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
28,131,131,260,64.84,10,0,68.68,0,145,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
29,242,118,194,117.17,5,0,106.37,0,195,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
30,206,49,191,84.71,10,0,76.07,0,79,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
31,197,78,413,78.86,0,0,69.84,0,122,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
32,152,93,331,21.76,10,0,21.12,0,109,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
33,153,69,289,100.18,10,1,108.96,0,63,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
34,106,70,457,65.19,10,0,64.23,0,96,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
35,113,113,323,111.87,5,0,118.76,0,194,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
36,153,72,196,18.89,5,0,18.27,0,65,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
37,126,69,86,27.67,0,0,26.08,0,79,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
38,164,82,391,83.09,10,0,74.12,0,96,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2659,532,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
39,126,43,132,125.8,0,0,110.88,0,53,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2659,532,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
40,182,109,193,16.85,10,0,15.48,0,112,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
41,290,56,236,50.42,10,1,45.94,0,82,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
42,122,122,127,83.17,20,1,72.09,0,126,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
43,203,122,518,26.29,5,0,30.05,0,158,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
44,253,40,212,19.8,5,0,17.3,0,57,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
45,227,106,0,44.64,0,0,50.46,0,136,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
46,247,123,552,18.65,0,0,21.62,0,142,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
47,297,61,0,113.01,0,0,126.44,0,89,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
48,226,96,0,56.32,5,0,66.33,0,126,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
49,167,70,127,36.21,10,0,39.87,0,106,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
50,159,157,293,131.16,10,0,139.75,0,149,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
51,126,58,131,105.94,0,0,103.35,0,80,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
52,105,105,743,86.78,10,0,78.8,0,176,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
53,271,27,0,61.69,25,1,53.36,0,44,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
54,166,131,500,98.46,10,0,104.52,0,133,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
55,292,80,0,94.11,10,0,107.33,0,108,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
56,204,53,380,112.23,10,0,133.9,0,82,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
57,289,56,316,134.95,5,0,125.53,0,75,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
58,201,109,0,59.71,0,0,70.74,0,123,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2659,532,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
59,250,41,270,65.81,5,0,57.66,0,61,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2659,532,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
60,215,85,287,10.47,0,0,11.51,0,81,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
61,283,67,0,19.12,10,1,20.62,0,112,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
62,161,92,407,134.16,20,1,117.74,0,114,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
63,168,88,252,51.64,0,0,57.32,0,86,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
64,289,197,0,89.23,10,0,77.73,0,183,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
65,206,48,162,35.33,0,0,34.77,0,73,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
66,185,43,253,24.34,5,0,26.46,0,65,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
67,281,59,0,100.64,0,0,118.02,0,80,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
68,206,106,299,110.47,5,0,122.04,0,98,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
69,223,120,597,30.02,0,0,29.15,0,128,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
70,195,60,293,52.89,0,0,62.29,0,61,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
71,111,111,113,118.15,0,0,133.46,0,103,0,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10640,2660,532,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
